,expFolder,probe,_av_IDs,movement_correlation
1796,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,14,-0.207779508528694
2050,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,272,-0.1925320812540248
495,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe1,203,-0.1372093323076878
4425,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,106,-0.1369966442483827
330,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe1,34,-0.1340703020135978
3110,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,128,-0.1261274806111059
756,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,51,-0.1224308840332836
874,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,169,-0.1205572539740926
2269,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,112,-0.1201004198568256
2144,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,366,-0.1196132999662275
1002,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,299,-0.1179060974362264
2851,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,299,-0.1094976668346739
1947,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,168,-0.108196060063253
3098,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,116,-0.1081841761754284
1042,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,339,-0.1064333136686749
3217,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,236,-0.1060535520229995
2726,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,174,-0.1059929114717629
2821,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,269,-0.1051355808135808
2563,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,11,-0.1040595666573415
528,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe1,236,-0.0986511977712211
1908,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,129,-0.0981736883921938
2644,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,92,-0.0978645525747488
3308,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,328,-0.0970979568527383
3830,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,358,-0.0948793797355298
2302,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,146,-0.0947514586308168
2122,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,344,-0.0931075935180896
2060,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,282,-0.0917553143665124
2732,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,180,-0.0897986963564003
3140,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,158,-0.0893636167179784
1051,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,348,-0.0873789540188356
1874,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,95,-0.0856994913195074
2481,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,326,-0.0827524338006427
1984,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,206,-0.0795707061720341
748,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,43,-0.0789556689821226
2919,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,367,-0.0771729464299817
3062,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,79,-0.0766789456045614
2069,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,291,-0.0764210389174651
3506,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,30,-0.074956758825779
3653,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,178,-0.074868112676902
1157,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,454,-0.0746336207410966
1917,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,138,-0.0736361065690839
4552,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,233,-0.0728754776527784
2240,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,83,-0.072562816097076
