,expFolder,_av_IDs,vis_score_test
4859,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,42,0.1684759137938499
1230,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,23,0.1917958739146085
1774,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,569,0.2288722387164488
3565,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,89,0.3609083975849507
3653,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,178,0.400981188816555
1743,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,538,0.4017318267889488
3722,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,248,0.4478902731086597
2612,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,60,0.4479871860481984
1328,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,121,0.4529292958632057
4465,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,146,0.4956137865497426
524,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,232,0.5022368243064993
4220,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,261,0.5108689672916418
859,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,154,0.531191159071966
2608,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,56,0.5424344250343962
2051,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,273,0.5713219368383764
3623,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,148,0.5919337060623053
1476,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,269,0.6013929712577593
1632,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,427,0.6022425945908276
3088,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,105,0.6033882519795501
1580,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,375,0.6100321745074326
3962,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,490,0.6187402767716323
1718,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,513,0.6260152901104673
571,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,281,0.6370910663810982
3079,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,96,0.6500524569999853
4072,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,106,0.6609633160331239
543,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,251,0.6619999786673777
4445,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,126,0.6683581609042282
2572,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,20,0.6708761028431043
1606,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,401,0.6710515435826937
91,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,93,0.688594354543445
1775,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,570,0.6905406366082009
3635,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,160,0.6915143312692995
749,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,44,0.6932438358607664
1670,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,465,0.6936465755385552
566,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,276,0.6979340513114161
1656,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,451,0.6982831789492234
4113,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,149,0.7017937806139369
4169,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,210,0.7054512120987947
1339,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,132,0.705974013432959
4117,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,153,0.7063564582232265
1214,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,7,0.7101894454952635
4084,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,118,0.7166883481706857
1658,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,453,0.7298230551017844
265,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,268,0.7390677373614176
2667,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,115,0.7394913852061163
1217,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,10,0.7398562430861806
1491,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,284,0.741519952216152
2654,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,102,0.7430342307675257
4253,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,294,0.7463368349102332
1162,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,459,0.7463444270233681
2562,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,10,0.7465853682784862
1351,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,144,0.7504364687428062
1199,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,496,0.7530275319027476
3057,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,74,0.75309428718921
3175,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,194,0.7546434959760745
